nazwa;autorzy;tekst na certyfikat;ankieta przed;wymagania instalacyjne
radzenie-sobie-ze-stresem-i-odpornosc-psychiczna;agata-fijewska, malgorzata-wojdowska;brak;brak;ok
raportowanie-z-wykorzystaniem-r;maciej-bartoszuk;ok;brak;brak
react-native-w-praktyce;lukasz-andrzejewski;brak;brak;brak
refactoring-techniques-in-improving-code-quality-and-implementation-of-design-patterns-in-cpp_en.md;patrycja-wegrzynowicz;brak;brak;brak
reguly-tworzenia-aplikacji-dla-systemow-wbudowanych-i-branzy-automotive;tomasz-jasiukiewicz;brak;brak;brak
responsive-web-design-projektowanie-i-wdrazanie;tomasz-sulkowski;brak;brak;brak
robot-framework-rozszerzanie-mozliwosci-narzedzia-poziom-zaawansowany;sebastian-chmielewski;brak;brak;brak
rozszerzanie-edytora-unity;mateusz-kietlinski;brak;brak;ok
rozwoj-oprogramowania-z-wykorzystaniem-refaktoryzacji;sebastian-malaca;brak;brak;brak
rxjs-reaktywne-programowanie-w-javascript;piotr-blaszczak;brak;brak;ok
scrum-dla-software-engineers;matt-harasymczuk;brak;brak;brak
scrum-master-przygotowanie-do-certyfikatu;lukasz-losin;brak;brak;brak
scrum-product-owner;lukasz-losin;brak;brak;ok
scrumban-professional-scrum-with-kanban;adam-grzywacz;brak;brak;brak
search-driven-analytics-zastosowanie-kibany-i-elasticsearcha;marcin-goss;brak;brak;brak
sieciowe-aplikacje-w-elixir-i-phoenix;mikolaj-kubera;ok;ok;ok
skuteczna-komunikacja;agata-fijewska;brak;brak;brak
skuteczne-zarzadzanie-komunikacja-i-przywodztwo-w-projektach-i-programach-it;martin-daliga;brak;brak;brak
spock-framework-dla-programistow-javy;kamil-szymanski, marcin-chrost;ok;ok;ok
spring-framework;lukasz-andrzejewski;ok;ok;ok
sprzetowe-uklady-zabezpieczen-dla-urzadzen-iot;piotr-nazimek;ok;brak;ok
system-zarzadzania-ciagloscia-dzialania;martin-daliga;brak;brak;brak
systemy-wykrywania-wlaman;krzysztof-cabaj;brak;brak;brak
szkolenie-dla-trenerow;jakub-koperwas;ok;brak;brak
szybkie-prototypowanie-od-bpmn-do-mvp;lukasz-losin;brak;brak;brak
techniczne-aspekty-budowania-wydajnych-procesow-ladowania-hurtowni-danych-z-wykorzystaniem-pentaho-data-integration;lukasz-dunal;brak;brak;brak
techniczne-aspekty-eksploracji-danych-zgromadzonych-w-hurtowni-danych-z-wykorzystaniem-pentaho-data-mining;lukasz-dunal;brak;brak;brak
techniki-i-protokoly-transmisji-danych-w-systemach-iot;piotr-nazimek;brak;brak;brak
techniki-myslenia-analitycznego-i-podejmowanie-decyzji-biznesowych-w-obszarze-it;martin-daliga;brak;brak;brak
technologie-big-data-w-chmurze-aws;bernard-orzechowski;brak;brak;brak
terraform-automatyzacja-wdrozen-infrastracture-as-code-w-chmurze-aws;bernard-orzechowski;brak;brak;brak
test-driven-development-w-ekosystemie-react;tomek-sulkowski;brak;brak;brak
test-driven-development-w-jezyku-c-sharp;piotr-barankiewicz;brak;brak;ok
testowanie-360-wszystko-o-testowaniu;sebastian-chmielewski;brak;brak;brak
testowanie-angular-w-praktyce;lukasz-andrzejewski;brak;brak;brak
testowanie-bezpieczenstwa-rozwiazan-iot;sebastian-chmielewski;brak;brak;brak
testowanie-kodu-oraz-aplikacji-android;lukasz-andrzejewski, marcin-bak;ok;ok;ok
testowanie-na-platformie-java;lukasz-andrzejewski, kamil-klimaszewski;ok;ok;ok
